pathway_type,stage,n_runs,mean_entering_per_day,mean_leaving_per_day,mean_net_per_day,total_entered_mean,total_left_mean,total_net_mean
BASELINE,biopmdt_to_biopsy,30,0.3585388127853881,0.19908675799086759,0.15945205479452054,130.86666666666667,72.66666666666667,58.2
PROSTAD,biopmdt_to_biopsy,30,0.37095890410958904,0.20374429223744292,0.16721461187214612,135.4,74.36666666666666,61.03333333333333
BASELINE,biopsy_to_pathrep,30,0.19908675799086759,0.19360730593607306,0.005479452054794521,72.66666666666667,70.66666666666667,2.0
PROSTAD,biopsy_to_pathrep,30,0.20374429223744292,0.19926940639269405,0.004474885844748858,74.36666666666666,72.73333333333333,1.6333333333333333
BASELINE,mri_to_report,30,0.37086757990867575,0.36283105022831047,0.008036529680365296,135.36666666666667,132.43333333333334,2.933333333333333
PROSTAD,mri_to_report,30,0.37095890410958904,0.37095890410958904,0.0,135.4,135.4,0.0
BASELINE,pathrep_to_treatmdt,30,0.19360730593607306,0.15351598173515982,0.04009132420091324,70.66666666666667,56.03333333333333,14.633333333333333
PROSTAD,pathrep_to_treatmdt,30,0.19926940639269405,0.15863013698630138,0.040639269406392696,72.73333333333333,57.9,14.833333333333334
BASELINE,ref_to_mri,30,0.3957990867579909,0.37086757990867575,0.02493150684931507,144.46666666666667,135.36666666666667,9.1
PROSTAD,ref_to_mri,30,0.3887671232876712,0.37095890410958904,0.01780821917808219,141.9,135.4,6.5
BASELINE,report_to_biopmdt,30,0.36283105022831047,0.3585388127853881,0.004292237442922374,132.43333333333334,130.86666666666667,1.5666666666666667
PROSTAD,report_to_biopmdt,30,0.37095890410958904,0.37095890410958904,0.0,135.4,135.4,0.0
BASELINE,treatmdt_to_outpat,30,0.15351598173515982,0.14840182648401826,0.005114155251141552,56.03333333333333,54.166666666666664,1.8666666666666667
PROSTAD,treatmdt_to_outpat,30,0.15863013698630138,0.1517808219178082,0.00684931506849315,57.9,55.4,2.5
